TikTok User Statistics
Username,leggoquandovoglio
11/7/2025, 1:14:19 PM,382,16,0,0,"In ottobre ho finito 20 libri: 11 cartacei, 1 eBook e 9 audiolibri!  Ecco la mia classifica velocissima! 20. Bar sport - esagerato   19. Una famiglia moderna - superficiale  18. I simulacri - non centrato 17. Sbarcare il lunario - parlarsi addosso  16. Altre e Emily - parlarsi addosso meno peggio 15. Cronaca familiare - personale  14. L’isola degli idealisti - fastidioso 13. Le cinque donne - ripetitivo 12. Il mistero del terzo miglio - poco strutturato  11. La profezia oscura - piacevole 10. Jerry Todd e la mummia sussurrante - divertente 9. Il figlio - tenerone 8. Santo cielo - unico  7. La gatta - commovente  6. Ego - importante  5. Il figlio del becchino e l’orfana 3 - avvincente  4. La notte dei desideri - coccola  3. Trilogia del Novecento - avvolgente  2. Sepolcro in agguato - ossessionante  1. Lucernario - Letteratura  In generale il mese è andato bene ma ha avuto più picchi negativi che picchi positivi!  Voi cosa avete letto ad ottobre? Siete stati soddisfatti delle vostre letture? %23booktokitalia "
11/7/2025, 11:27:55 AM,319,12,0,0,"I libri che sto leggendo ultimamente meritano appunti e ricerche (in Maali Almeida devo cercare tutto, dagli indumenti alle differenze tra burgher, tamil e singalesi e soprattutto a come sono ‘visti’ socialmente perché non ne avevo idea), perciò leggo ‘poco’ ma molto bene 💖 %23Booktokitalia "
11/6/2025, 6:36:28 PM,343,15,2,0,"Vale la pena leggere La paziente silenziosa? Ecco la risposta all’interno del Gruppo Di Lettura! %23Booktokitalia "
11/6/2025, 1:13:38 PM,345,13,3,0,"✍🏻 Libri in cui prendere appunti e libri in cui non serve. Io scrivo da sempre sui miei libri, sottolineo a matita e scrivo anche ai margini (o sul fondo se devo appuntare qualcosa di più lungo). Mi è sempre piaciuto e l’ho sempre trovato necessario per me, mi è sempre sembrato di capirli di più e viverli maggiormente, scrivendoci sopra.  Ci sono, però, dei libri che mi suscitano così tanto che anche gli appunti a margine mi sembrano troppo pochine per cui porto con me, mentre leggo, anche un quaderno in cui appuntare le cose che leggo. Non trascrivo le citazioni (quelle le sottolineo, anche se io sottolineo tutto quello che trovo interessante, non solo le frasi ‘belle’) ma mi scrivo le tematiche, le tecniche utilizzate che riconosco, i libri citati se sono importanti e non sono troppo numerosi. Al momento, stando leggendo una quantità di libri molto alta, forse la più alta da inizio anno (e quanto sto amando voi non lo potete capire, sono ENTUSIASTA) ho sentito il bisogno di dividere i miei libri tra quelli che posso leggere in situazioni in cui non ho a disposizione il quaderno (foto 2) e quelli in cui se ho il quaderno è meglio, perché è probabile che qualcosa vorrò appuntare.  E questo fa un po’ capire anche le mie valutazioni letterarie: se un libro non ha bisogno del quaderno mi può piacere anche tantissimo per altro, ma difficilmente diventerà uno di quei testi di cui parlo sempre. Se invece uno è ‘da quaderno’ magari potrà anche non piacermi, ma sicuramente la me lettrice dopo aver chiuso quel libro sarà mutata, anche solo di un pochino. (Il giardino segreto è lì ma non avendolo iniziato l’ho messo solo perché all’inizio lo proverò con quaderno e se poi non serve lo sposterò di tipologia). ❓Voi gli appunti li prendete? E se sì, di che tipo? Vi trascrivete le cose più belle o fate un’analisi di ciò che trovate?  %23Booktokitalia  "
11/6/2025, 1:07:47 PM,408,15,0,0,"Ieri ho letto per tanto tempo ma ho letto poche pagine: Eco è bello impegnativo da leggere, sia per il contenuto sia per il carattere piccolo che massacra i miei proverbi occhi. La qualità però è stata altissima, anche Crossroads mi è piaciuto di più 💖 %23booktokitalia"
,
Mentions
@Mondadori,1
,
Hashtags
BookTokItalia,8
Booktokitalia,4
booktokitalia,3
Leggere,1
BookTok,1
LibriInLettura,1
LeggoQuandoVoglio,1
DonDeLillo,1
LibriSulComodino,1
Einaudi,1
Libri,1
BodyArt,1
ReceQV,1
LettureInCorso,1
